AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
38%,Ukrainian Cup 2018/2019,Ukraine,33%,30%,42,4,https://www.betexplorer.com/soccer/ukraine/ukrainian-cup/stats/
,,,,,,,
22%,Yokary Liga 2019,Turkmenistan,0%,78%,9,47,https://www.betexplorer.com/soccer/turkmenistan/yokary-liga/stats/
,,,,,,,
0%,Super Cup 2019,Uruguay,100%,0%,1,0,https://www.betexplorer.com/soccer/uruguay/super-cup/stats/
,,,,,,,
23%,Premier League 2018/2019,Uganda,33%,45%,195,45,https://www.betexplorer.com/soccer/uganda/premier-league/stats/
,,,,,,,
33%,Youth League 2018/2019,Ukraine,33%,33%,3,27,https://www.betexplorer.com/soccer/ukraine/youth-league/stats/
,,,,,,,
35%,Persha Liga 2018/2019,Ukraine,23%,42%,142,71,https://www.betexplorer.com/soccer/ukraine/persha-liga/stats/
,,,,,,,
28%,Druha Liga 2018/2019,Ukraine,26%,46%,170,10,https://www.betexplorer.com/soccer/ukraine/druha-liga/stats/
,,,,,,,
33%,League Cup 2018/2019,Wales,15%,52%,27,0,https://www.betexplorer.com/soccer/wales/league-cup/stats/
,,,,,,,
14%,Arabian Gulf Cup 2018/2019,United Arab Emirates,43%,43%,7,0,https://www.betexplorer.com/soccer/united-arab-emirates/arabian-gulf-cup/stats/
,,,,,,,
50%,USL League One 2019,USA,0%,50%,4,136,https://www.betexplorer.com/soccer/usa/usl-league-one/stats/
,,,,,,,
0%,USL League Two 2019,USA,0%,0%,0,500,https://www.betexplorer.com/soccer/usa/usl-league-two/stats/
,,,,,,,
0%,Super Cup 2019,Uzbekistan,0%,100%,1,0,https://www.betexplorer.com/soccer/uzbekistan/super-cup/stats/
,,,,,,,
27%,MLS 2019,USA,23%,50%,52,356,https://www.betexplorer.com/soccer/usa/mls/stats/
,,,,,,,
7%,Super League 2019,Uzbekistan,43%,50%,14,168,https://www.betexplorer.com/soccer/uzbekistan/super-league/stats/
,,,,,,,
26%,USL Championship 2019,USA,34%,40%,65,547,https://www.betexplorer.com/soccer/usa/usl-championship/stats/
,,,,,,,
38%,Cymru Alliance 2018/2019,Wales,18%,44%,218,22,https://www.betexplorer.com/soccer/wales/cymru-alliance/stats/
,,,,,,,
37%,Division 1 2018/2019,Wales,19%,44%,187,53,https://www.betexplorer.com/soccer/wales/division-1/stats/
,,,,,,,
24%,Premier League 2018/2019,Wales,18%,59%,17,13,https://www.betexplorer.com/soccer/wales/premier-league/stats/
,,,,,,,
100%,Premier League 2018/2019,Ukraine,0%,0%,1,29,https://www.betexplorer.com/soccer/ukraine/premier-league/stats/
,,,,,,,
0%,Olympic Games Women 2020,World,0%,100%,5,15,https://www.betexplorer.com/soccer/world/olympic-games-women/stats/
,,,,,,,
31%,UAE League 2018/2019,United Arab Emirates,20%,49%,127,55,https://www.betexplorer.com/soccer/united-arab-emirates/uae-league/stats/
,,,,,,,
27%,Primera Division 2019,Uruguay,25%,48%,56,64,https://www.betexplorer.com/soccer/uruguay/primera-division/stats/
,,,,,,,
23%,3. Lig Group 2 2018/2019,Turkey,31%,46%,260,46,https://www.betexplorer.com/soccer/turkey/3-lig-group-2/stats/
,,,,,,,
22%,Turkish Cup 2018/2019,Turkey,24%,54%,191,3,https://www.betexplorer.com/soccer/turkey/turkish-cup/stats/
,,,,,,,
34%,1. Lig 2018/2019,Turkey,24%,41%,241,65,https://www.betexplorer.com/soccer/turkey/1-lig/stats/
,,,,,,,
26%,Super Lig 2018/2019,Turkey,28%,45%,234,72,https://www.betexplorer.com/soccer/turkey/super-lig/stats/
,,,,,,,
25%,3. Lig Group 1 2018/2019,Turkey,34%,41%,232,40,https://www.betexplorer.com/soccer/turkey/3-lig-group-1/stats/
,,,,,,,
28%,2. Lig Red Group 2018/2019,Turkey,29%,44%,261,45,https://www.betexplorer.com/soccer/turkey/2-lig-red-group/stats/
,,,,,,,
20%,3. Lig Group 3 2018/2019,Turkey,30%,49%,261,45,https://www.betexplorer.com/soccer/turkey/3-lig-group-3/stats/
,,,,,,,
0%,Super Cup 2019,Tunisia,0%,100%,2,0,https://www.betexplorer.com/soccer/tunisia/super-cup/stats/
,,,,,,,
30%,2. Lig White Group 2018/2019,Turkey,24%,46%,261,40,https://www.betexplorer.com/soccer/turkey/2-lig-white-group/stats/
,,,,,,,
34%,Pro League 2018,Trinidad and Tobago,19%,47%,90,0,https://www.betexplorer.com/soccer/trinidad-and-tobago/pro-league/stats/
,,,,,,,
19%,Championnat National 2018/2019,Togo,31%,50%,147,0,https://www.betexplorer.com/soccer/togo/championnat-national/stats/
,,,,,,,
28%,Thai Premier League 2019,Thailand,32%,40%,47,193,https://www.betexplorer.com/soccer/thailand/thai-premier-league/stats/
,,,,,,,
0%,Champions Cup 2019,Thailand,0%,100%,1,0,https://www.betexplorer.com/soccer/thailand/champions-cup/stats/
,,,,,,,
45%,Syria Cup 2018/2019,Syria,0%,55%,11,1,https://www.betexplorer.com/soccer/syria/syria-cup/stats/
,,,,,,,
0%,Vysshaya Liga 2019,Tajikistan,0%,0%,0,4,https://www.betexplorer.com/soccer/tajikistan/vysshaya-liga/stats/
,,,,,,,
27%,Premier League 2018/2019,Syria,29%,45%,133,49,https://www.betexplorer.com/soccer/syria/premier-league/stats/
,,,,,,,
41%,1.Liga Classic Group 3 2018/2019,Switzerland,19%,40%,130,52,https://www.betexplorer.com/soccer/switzerland/1-liga-classic-group-3/stats/
,,,,,,,
37%,Nationalliga A Women 2018/2019,Switzerland,18%,46%,79,33,https://www.betexplorer.com/soccer/switzerland/nationalliga-a-women/stats/
,,,,,,,
67%,Swiss Cup 2018/2019,Switzerland,20%,13%,60,2,https://www.betexplorer.com/soccer/switzerland/swiss-cup/stats/
,,,,,,,
32%,1.Liga Classic Group 2 2018/2019,Switzerland,22%,47%,129,53,https://www.betexplorer.com/soccer/switzerland/1-liga-classic-group-2/stats/
,,,,,,,
0%,Elitettan Women 2019,Sweden,0%,0%,0,182,https://www.betexplorer.com/soccer/sweden/elitettan-women/stats/
,,,,,,,
32%,1.Liga Promotion 2018/2019,Switzerland,26%,41%,176,64,https://www.betexplorer.com/soccer/switzerland/1-liga-promotion/stats/
,,,,,,,
