AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
40%,Division 2 2018/2019,Qatar,10%,50%,42,3,https://www.betexplorer.com/soccer/qatar/division-2/stats/
,,,,,,,
33%,QSL Cup 2018/2019,Qatar,0%,67%,8,0,https://www.betexplorer.com/soccer/qatar/qsl-cup/stats/
,,,,,,,
34%,III Liga - Group II 2018/2019,Poland,16%,50%,189,104,https://www.betexplorer.com/soccer/poland/iii-liga-group-ii/stats/
,,,,,,,
34%,III Liga - Group I 2018/2019,Poland,21%,46%,179,127,https://www.betexplorer.com/soccer/poland/iii-liga-group-i/stats/
,,,,,,,
30%,Ekstraklasa 2018/2019,Poland,26%,44%,220,20,https://www.betexplorer.com/soccer/poland/ekstraklasa/stats/
,,,,,,,
47%,Liga BPI Women 2018/2019,Portugal,13%,40%,108,24,https://www.betexplorer.com/soccer/portugal/liga-bpi-women/stats/
,,,,,,,
36%,Taça de Portugal Women 2018/2019,Portugal,0%,64%,14,2,https://www.betexplorer.com/soccer/portugal/taca-de-portugal-women/stats/
,,,,,,,
25%,Liga Revelacao U23 2018/2019,Portugal,44%,31%,16,14,https://www.betexplorer.com/soccer/portugal/liga-revelacao-u23/stats/
,,,,,,,
33%,League Cup 2018/2019,Portugal,67%,0%,3,0,https://www.betexplorer.com/soccer/portugal/league-cup/stats/
,,,,,,,
64%,Polish Cup 2018/2019,Poland,19%,17%,64,2,https://www.betexplorer.com/soccer/poland/polish-cup/stats/
,,,,,,,
31%,III Liga - Group III 2018/2019,Poland,23%,46%,188,118,https://www.betexplorer.com/soccer/poland/iii-liga-group-iii/stats/
,,,,,,,
27%,Segunda Liga 2018/2019,Portugal,23%,50%,243,63,https://www.betexplorer.com/soccer/portugal/segunda-liga/stats/
,,,,,,,
30%,Campeonato de Portugal 2018/2019,Portugal,26%,44%,1006,218,https://www.betexplorer.com/soccer/portugal/campeonato-de-portugal/stats/
,,,,,,,
33%,Primeira Liga 2018/2019,Portugal,21%,46%,243,63,https://www.betexplorer.com/soccer/portugal/primeira-liga/stats/
,,,,,,,
25%,III Liga - Group IV 2018/2019,Poland,28%,47%,189,117,https://www.betexplorer.com/soccer/poland/iii-liga-group-iv/stats/
,,,,,,,
24%,Division 2 2018/2019,Poland,29%,47%,232,74,https://www.betexplorer.com/soccer/poland/division-2/stats/
,,,,,,,
53%,Romanian Cup 2018/2019,Romania,18%,28%,95,4,https://www.betexplorer.com/soccer/romania/romanian-cup/stats/
,,,,,,,
44%,Liga 1 2018/2019,Romania,11%,44%,9,21,https://www.betexplorer.com/soccer/romania/liga-1/stats/
,,,,,,,
37%,Superliga Women 2018/2019,Romania,14%,49%,51,21,https://www.betexplorer.com/soccer/romania/superliga-women/stats/
,,,,,,,
26%,Liga 2 2018/2019,Romania,22%,52%,270,110,https://www.betexplorer.com/soccer/romania/liga-2/stats/
,,,,,,,
29%,Irish League Cup 2018/2019,Northern Ireland,26%,46%,35,0,https://www.betexplorer.com/soccer/northern-ireland/irish-league-cup/stats/
,,,,,,,
59%,Macedonian Cup 2018/2019,North Macedonia,8%,33%,39,2,https://www.betexplorer.com/soccer/north-macedonia/macedonian-cup/stats/
,,,,,,,
32%,Premier League 2018/2019,Pakistan,30%,38%,182,0,https://www.betexplorer.com/soccer/pakistan/premier-league/stats/
,,,,,,,
44%,Sultan Cup 2018/2019,Oman,22%,33%,36,1,https://www.betexplorer.com/soccer/oman/sultan-cup/stats/
,,,,,,,
38%,Irish Cup 2018/2019,Northern Ireland,9%,53%,124,1,https://www.betexplorer.com/soccer/northern-ireland/irish-cup/stats/
,,,,,,,
22%,NIFL Championship 2018/2019,Northern Ireland,6%,72%,18,12,https://www.betexplorer.com/soccer/northern-ireland/nifl-championship/stats/
,,,,,,,
0%,CFU Club Championship 2019,North & Central America,0%,0%,0,15,https://www.betexplorer.com/soccer/north-central-america/cfu-club-championship/stats/
,,,,,,,
35%,CONCACAF Championship U17 2019,North & Central America,17%,48%,27,9,https://www.betexplorer.com/soccer/north-central-america/concacaf-championship-u17/stats/
,,,,,,,
37%,Ligue 1 2018/2019,Niger,29%,35%,84,7,https://www.betexplorer.com/soccer/niger/ligue-1/stats/
,,,,,,,
11%,NPFL 2019,Nigeria,25%,64%,148,116,https://www.betexplorer.com/soccer/nigeria/npfl/stats/
,,,,,,,
33%,Football Championship 2018/2019,New Zealand,0%,67%,3,0,https://www.betexplorer.com/soccer/new-zealand/football-championship/stats/
,,,,,,,
0%,Norway Cup Women 2019,Norway,0%,0%,0,20,https://www.betexplorer.com/soccer/norway/norway-cup-women/stats/
,,,,,,,
25%,Eredivisie Women 2018/2019,Netherlands,25%,50%,12,8,https://www.betexplorer.com/soccer/netherlands/eredivisie-women/stats/
,,,,,,,
30%,Primera Division 2018/2019,Nicaragua,20%,50%,55,35,https://www.betexplorer.com/soccer/nicaragua/primera-division/stats/
,,,,,,,
42%,KNVB Beker Women 2018/2019,Netherlands,5%,53%,19,2,https://www.betexplorer.com/soccer/netherlands/knvb-beker-women/stats/
,,,,,,,
31%,MTC Premiership 2018/2019,Namibia,30%,39%,114,1,https://www.betexplorer.com/soccer/namibia/mtc-premiership/stats/
,,,,,,,
23%,Reserve League 2018/2019,Netherlands,31%,46%,26,19,https://www.betexplorer.com/soccer/netherlands/reserve-league/stats/
,,,,,,,
40%,KNVB Beker 2018/2019,Netherlands,20%,40%,105,1,https://www.betexplorer.com/soccer/netherlands/knvb-beker/stats/
,,,,,,,
34%,Tweede Divisie 2018/2019,Netherlands,20%,45%,241,65,https://www.betexplorer.com/soccer/netherlands/tweede-divisie/stats/
,,,,,,,
35%,Eerste Divisie 2018/2019,Netherlands,23%,43%,320,60,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/stats/
,,,,,,,
38%,Derde Divisie 2018/2019,Netherlands,17%,45%,477,135,https://www.betexplorer.com/soccer/netherlands/derde-divisie/stats/
,,,,,,,
31%,Eredivisie 2018/2019,Netherlands,20%,49%,246,60,https://www.betexplorer.com/soccer/netherlands/eredivisie/stats/
,,,,,,,
33%,Toppserien Women 2019,Norway,33%,33%,12,120,https://www.betexplorer.com/soccer/norway/toppserien-women/stats/
,,,,,,,
0%,Junior U19 2019,Norway,0%,0%,0,30,https://www.betexplorer.com/soccer/norway/junior-u19/stats/
,,,,,,,
0%,Division 3 - Group 5 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-5/stats/
,,,,,,,
0%,Division 3 - Group 4 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-4/stats/
,,,,,,,
0%,Super Cup 2019,Norway,0%,0%,0,1,https://www.betexplorer.com/soccer/norway/super-cup/stats/
,,,,,,,
0%,Division 3 - Group 6 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-6/stats/
,,,,,,,
0%,Division 3 - Group 1 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-1/stats/
,,,,,,,
0%,Division 3 - Group 3 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-3/stats/
,,,,,,,
0%,Division 3 - Group 2 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-3-group-2/stats/
,,,,,,,
0%,Division 2 - Group 2 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-2-group-2/stats/
,,,,,,,
0%,Division 2 - Group 1 2019,Norway,0%,0%,0,182,https://www.betexplorer.com/soccer/norway/division-2-group-1/stats/
,,,,,,,
25%,CONCACAF Champions League 2019,North & Central America,8%,67%,24,4,https://www.betexplorer.com/soccer/north-central-america/concacaf-champions-league/stats/
,,,,,,,
0%,NIFL Premiership 2018/2019,Northern Ireland,0%,0%,0,15,https://www.betexplorer.com/soccer/northern-ireland/nifl-premiership/stats/
,,,,,,,
27%,Division 1 2018/2019,North Macedonia,24%,49%,190,80,https://www.betexplorer.com/soccer/north-macedonia/division-1/stats/
,,,,,,,
13%,Eliteserien 2019,Norway,25%,63%,8,232,https://www.betexplorer.com/soccer/norway/eliteserien/stats/
,,,,,,,
29%,OBOS-ligaen 2019,Norway,29%,43%,7,233,https://www.betexplorer.com/soccer/norway/obos-ligaen/stats/
,,,,,,,
27%,Professional League 2018/2019,Oman,28%,45%,126,0,https://www.betexplorer.com/soccer/oman/professional-league/stats/
,,,,,,,
28%,First League 2018/2019,North Macedonia,26%,46%,129,51,https://www.betexplorer.com/soccer/north-macedonia/first-league/stats/
,,,,,,,
25%,National League 2019,Myanmar,31%,44%,36,96,https://www.betexplorer.com/soccer/myanmar/national-league/stats/
,,,,,,,
0%,Mocambola 2019,Mozambique,0%,0%,0,8,https://www.betexplorer.com/soccer/mozambique/mocambola/stats/
,,,,,,,
58%,Montenegrin Cup 2018/2019,Montenegro,13%,29%,33,0,https://www.betexplorer.com/soccer/montenegro/montenegrin-cup/stats/
,,,,,,,
34%,Prva Crnogorska Liga 2018/2019,Montenegro,34%,32%,135,45,https://www.betexplorer.com/soccer/montenegro/prva-crnogorska-liga/stats/
,,,,,,,
0%,Super Cup 2019,Moldova,100%,0%,1,0,https://www.betexplorer.com/soccer/moldova/super-cup/stats/
,,,,,,,
36%,Mauritian League 2018/2019,Mauritius,34%,30%,70,20,https://www.betexplorer.com/soccer/mauritius/mauritian-league/stats/
,,,,,,,
47%,FA Trophy 2018/2019,Malta,14%,39%,59,4,https://www.betexplorer.com/soccer/malta/fa-trophy/stats/
,,,,,,,
42%,Premier League 2018/2019,Malta,19%,39%,154,28,https://www.betexplorer.com/soccer/malta/premier-league/stats/
,,,,,,,
27%,Super D1 2018/2019,Mauritania,33%,40%,147,35,https://www.betexplorer.com/soccer/mauritania/super-d1/stats/
,,,,,,,
20%,Botola 2 2018/2019,Morocco,40%,40%,208,32,https://www.betexplorer.com/soccer/morocco/botola-2/stats/
,,,,,,,
8%,Copa Mexico 2018/2019,Mexico,38%,54%,13,1,https://www.betexplorer.com/soccer/mexico/copa-mexico/stats/
,,,,,,,
39%,Liga MX Women 2018/2019,Mexico,18%,43%,120,24,https://www.betexplorer.com/soccer/mexico/liga-mx-women/stats/
,,,,,,,
35%,Premiere Division 2017,Mali,24%,41%,198,0,https://www.betexplorer.com/soccer/mali/premiere-division/stats/
,,,,,,,
26%,Division 2 2018/2019,Montenegro,31%,43%,125,55,https://www.betexplorer.com/soccer/montenegro/division-2/stats/
,,,,,,,
22%,Botola Pro 2018/2019,Morocco,37%,42%,178,62,https://www.betexplorer.com/soccer/morocco/botola-pro/stats/
,,,,,,,
38%,Division 1 2018/2019,Malta,24%,38%,150,32,https://www.betexplorer.com/soccer/malta/division-1/stats/
,,,,,,,
30%,Primera Division 2018/2019,Mexico,22%,48%,108,45,https://www.betexplorer.com/soccer/mexico/primera-division/stats/
,,,,,,,
50%,Divizia Nationala 2019,Moldova,8%,42%,12,100,https://www.betexplorer.com/soccer/moldova/divizia-nationala/stats/
,,,,,,,
24%,Liga de Ascenso 2018/2019,Mexico,30%,46%,91,14,https://www.betexplorer.com/soccer/mexico/liga-de-ascenso/stats/
,,,,,,,
0%,Super League 2019,Malawi,0%,0%,0,10,https://www.betexplorer.com/soccer/malawi/super-league/stats/
,,,,,,,
33%,FA Cup 2019,Malaysia,8%,58%,24,1,https://www.betexplorer.com/soccer/malaysia/fa-cup/stats/
,,,,,,,
34%,Premier League 2019,Malaysia,26%,39%,38,10,https://www.betexplorer.com/soccer/malaysia/premier-league/stats/
,,,,,,,
43%,Elite League 2019,Macao,11%,46%,35,20,https://www.betexplorer.com/soccer/macao/elite-league/stats/
,,,,,,,
0%,Super Cup 2019,Lithuania,0%,100%,1,0,https://www.betexplorer.com/soccer/lithuania/super-cup/stats/
,,,,,,,
82%,Liechtenstein Cup 2018/2019,Liechtenstein,0%,18%,11,2,https://www.betexplorer.com/soccer/liechtenstein/liechtenstein-cup/stats/
,,,,,,,
61%,Luxembourg Cup 2018/2019,Luxembourg,23%,16%,56,4,https://www.betexplorer.com/soccer/luxembourg/luxembourg-cup/stats/
,,,,,,,
34%,LFA First Division 2019,Liberia,26%,39%,38,94,https://www.betexplorer.com/soccer/liberia/lfa-first-division/stats/
,,,,,,,
19%,A Lyga 2019,Lithuania,19%,63%,16,96,https://www.betexplorer.com/soccer/lithuania/a-lyga/stats/
,,,,,,,
21%,Premier League 2018/2019,Libya,35%,44%,114,0,https://www.betexplorer.com/soccer/libya/premier-league/stats/
,,,,,,,
33%,National Division 2018/2019,Luxembourg,21%,46%,126,56,https://www.betexplorer.com/soccer/luxembourg/national-division/stats/
,,,,,,,
27%,Super League 2019,Malaysia,32%,41%,41,91,https://www.betexplorer.com/soccer/malaysia/super-league/stats/
,,,,,,,
23%,I Lyga 2019,Lithuania,23%,54%,13,59,https://www.betexplorer.com/soccer/lithuania/i-lyga/stats/
,,,,,,,
42%,Optibet Virsliga 2019,Latvia,0%,58%,12,132,https://www.betexplorer.com/soccer/latvia/optibet-virsliga/stats/
,,,,,,,
0%,1. Liga 2019,Latvia,0%,0%,0,135,https://www.betexplorer.com/soccer/latvia/1-liga/stats/
,,,,,,,
37%,Premier League 2018/2019,Lebanon,25%,38%,114,18,https://www.betexplorer.com/soccer/lebanon/premier-league/stats/
,,,,,,,
33%,Premier League 2018/2019,Lesotho,26%,41%,145,1,https://www.betexplorer.com/soccer/lesotho/premier-league/stats/
,,,,,,,
21%,Dhivehi Premier League 2018,Maldives,11%,68%,28,0,https://www.betexplorer.com/soccer/maldives/dhivehi-premier-league/stats/
,,,,,,,
20%,Male League 2018,Maldives,21%,59%,56,0,https://www.betexplorer.com/soccer/maldives/male-league/stats/
,,,,,,,
33%,Kosovar Cup 2018/2019,Kosovo,42%,25%,12,4,https://www.betexplorer.com/soccer/kosovo/kosovar-cup/stats/
,,,,,,,
0%,Premier Liga 2019,Kyrgyzstan,0%,0%,0,29,https://www.betexplorer.com/soccer/kyrgyzstan/premier-liga/stats/
,,,,,,,
23%,Persian Gulf Pro League 2018/2019,Iran,40%,37%,183,57,https://www.betexplorer.com/soccer/iran/persian-gulf-pro-league/stats/
,,,,,,,
28%,Hazfi Cup 2018/2019,Iran,45%,28%,29,1,https://www.betexplorer.com/soccer/iran/hazfi-cup/stats/
,,,,,,,
29%,Ligue 1 2018/2019,Ivory Coast,30%,40%,146,7,https://www.betexplorer.com/soccer/ivory-coast/ligue-1/stats/
,,,,,,,
42%,NB I Women 2018/2019,Hungary,16%,42%,64,20,https://www.betexplorer.com/soccer/hungary/nb-i-women/stats/
,,,,,,,
29%,Merkantil Bank Liga 2018/2019,Hungary,28%,43%,300,80,https://www.betexplorer.com/soccer/hungary/merkantil-bank-liga/stats/
,,,,,,,
30%,Super League 2018/2019,Iraq,34%,36%,199,181,https://www.betexplorer.com/soccer/iraq/super-league/stats/
,,,,,,,
25%,OTP Bank Liga 2018/2019,Hungary,24%,51%,156,42,https://www.betexplorer.com/soccer/hungary/otp-bank-liga/stats/
,,,,,,,
66%,Hungarian Cup 2018/2019,Hungary,16%,18%,134,2,https://www.betexplorer.com/soccer/hungary/hungarian-cup/stats/
,,,,,,,
33%,Reykjavik Cup 2019,Iceland,0%,67%,3,0,https://www.betexplorer.com/soccer/iceland/reykjavik-cup/stats/
,,,,,,,
0%,Super Cup 2019,Iceland,0%,0%,0,1,https://www.betexplorer.com/soccer/iceland/super-cup/stats/
,,,,,,,
50%,Fotbolti.net Cup 2019,Iceland,0%,50%,2,0,https://www.betexplorer.com/soccer/iceland/fotbolti-net-cup/stats/
,,,,,,,
0%,Super Cup 2019,Kazakhstan,0%,100%,1,0,https://www.betexplorer.com/soccer/kazakhstan/super-cup/stats/
,,,,,,,
25%,Premier League 2018/2019,Kenya,33%,42%,175,131,https://www.betexplorer.com/soccer/kenya/premier-league/stats/
,,,,,,,
34%,Superliga 2018/2019,Kosovo,20%,47%,148,8,https://www.betexplorer.com/soccer/kosovo/superliga/stats/
,,,,,,,
0%,Icelandic Cup 2019,Iceland,0%,0%,0,30,https://www.betexplorer.com/soccer/iceland/icelandic-cup/stats/
,,,,,,,
30%,State Cup 2018/2019,Israel,15%,55%,47,1,https://www.betexplorer.com/soccer/israel/state-cup/stats/
,,,,,,,
0%,Inkasso-deildin 2019,Iceland,0%,0%,0,132,https://www.betexplorer.com/soccer/iceland/inkasso-deildin/stats/
,,,,,,,
0%,League Cup 2019,Iceland,0%,100%,2,1,https://www.betexplorer.com/soccer/iceland/league-cup/stats/
,,,,,,,
0%,Division 2 2019,Iceland,0%,0%,0,132,https://www.betexplorer.com/soccer/iceland/division-2/stats/
,,,,,,,
0%,Pepsideild 2019,Iceland,0%,0%,0,132,https://www.betexplorer.com/soccer/iceland/pepsideild/stats/
,,,,,,,
100%,Super Cup 2019,Ireland,0%,0%,1,0,https://www.betexplorer.com/soccer/ireland/super-cup/stats/
,,,,,,,
21%,League Cup 2019,Ireland,21%,57%,14,0,https://www.betexplorer.com/soccer/ireland/league-cup/stats/
,,,,,,,
0%,Leumit League 2018/2019,Israel,0%,0%,0,4,https://www.betexplorer.com/soccer/israel/leumit-league/stats/
,,,,,,,
41%,Division 1 2019,Ireland,10%,48%,29,106,https://www.betexplorer.com/soccer/ireland/division-1/stats/
,,,,,,,
50%,Ligat ha'Al 2018/2019,Israel,17%,33%,6,24,https://www.betexplorer.com/soccer/israel/ligat-ha-al/stats/
,,,,,,,
0%,FAI Cup 2019,Ireland,0%,0%,0,8,https://www.betexplorer.com/soccer/ireland/fai-cup/stats/
,,,,,,,
60%,Hero Super Cup 2019,India,0%,40%,12,4,https://www.betexplorer.com/soccer/india/hero-super-cup/stats/
,,,,,,,
27%,Premier Division 2019,Ireland,22%,51%,37,143,https://www.betexplorer.com/soccer/ireland/premier-division/stats/
,,,,,,,
20%,Division 1 2018/2019,Iran,37%,43%,205,35,https://www.betexplorer.com/soccer/iran/division-1/stats/
,,,,,,,
33%,President Cup 2019,Indonesia,17%,50%,6,2,https://www.betexplorer.com/soccer/indonesia/president-cup/stats/
,,,,,,,
38%,Serie A Women 2018/2019,Italy,14%,48%,121,12,https://www.betexplorer.com/soccer/italy/serie-a-women/stats/
,,,,,,,
28%,Coppa Italia Primavera 2018/2019,Italy,21%,51%,39,2,https://www.betexplorer.com/soccer/italy/coppa-italia-primavera/stats/
,,,,,,,
34%,Primavera 2 2018/2019,Italy,20%,46%,220,22,https://www.betexplorer.com/soccer/italy/primavera-2/stats/
,,,,,,,
30%,Serie D - Group H 2018/2019,Italy,26%,44%,261,45,https://www.betexplorer.com/soccer/italy/serie-d-group-h/stats/
,,,,,,,
18%,Coppa Italia Serie C 2018/2019,Italy,30%,53%,40,1,https://www.betexplorer.com/soccer/italy/coppa-italia-serie-c/stats/
,,,,,,,
39%,Primavera 1 2018/2019,Italy,21%,40%,183,57,https://www.betexplorer.com/soccer/italy/primavera-1/stats/
,,,,,,,
24%,Coppa Italia 2018/2019,Italy,22%,54%,76,2,https://www.betexplorer.com/soccer/italy/coppa-italia/stats/
,,,,,,,
29%,Serie D - Group G 2018/2019,Italy,23%,47%,330,50,https://www.betexplorer.com/soccer/italy/serie-d-group-g/stats/
,,,,,,,
28%,Serie D - Group F 2018/2019,Italy,31%,41%,330,50,https://www.betexplorer.com/soccer/italy/serie-d-group-f/stats/
,,,,,,,
25%,Serie D - Group I 2018/2019,Italy,31%,44%,260,46,https://www.betexplorer.com/soccer/italy/serie-d-group-i/stats/
,,,,,,,
27%,Serie D - Group D 2018/2019,Italy,32%,41%,261,45,https://www.betexplorer.com/soccer/italy/serie-d-group-d/stats/
,,,,,,,
27%,Serie D - Group E 2018/2019,Italy,29%,44%,330,50,https://www.betexplorer.com/soccer/italy/serie-d-group-e/stats/
,,,,,,,
35%,Serie D - Group B 2018/2019,Italy,27%,38%,261,45,https://www.betexplorer.com/soccer/italy/serie-d-group-b/stats/
,,,,,,,
29%,Serie D - Group C 2018/2019,Italy,32%,39%,261,45,https://www.betexplorer.com/soccer/italy/serie-d-group-c/stats/
,,,,,,,
31%,Serie D - Group A 2018/2019,Italy,31%,38%,261,45,https://www.betexplorer.com/soccer/italy/serie-d-group-a/stats/
,,,,,,,
25%,Serie C - Group C 2018/2019,Italy,30%,45%,294,43,https://www.betexplorer.com/soccer/italy/serie-c-group-c/stats/
,,,,,,,
26%,Serie C - Group B 2018/2019,Italy,38%,36%,329,51,https://www.betexplorer.com/soccer/italy/serie-c-group-b/stats/
,,,,,,,
27%,Serie C - Group A 2018/2019,Italy,34%,39%,335,46,https://www.betexplorer.com/soccer/italy/serie-c-group-a/stats/
,,,,,,,
0%,Kazakhstan Cup 2019,Kazakhstan,0%,0%,0,8,https://www.betexplorer.com/soccer/kazakhstan/kazakhstan-cup/stats/
,,,,,,,
22%,Serie B 2018/2019,Italy,34%,44%,277,65,https://www.betexplorer.com/soccer/italy/serie-b/stats/
,,,,,,,
29%,Serie A 2018/2019,Italy,28%,43%,291,89,https://www.betexplorer.com/soccer/italy/serie-a/stats/
,,,,,,,
14%,Emir Cup 2019,Kuwait,43%,43%,7,4,https://www.betexplorer.com/soccer/kuwait/emir-cup/stats/
,,,,,,,
25%,Premier League 2018/2019,Jamaica,50%,25%,4,4,https://www.betexplorer.com/soccer/jamaica/premier-league/stats/
,,,,,,,
40%,Football Championships Women 2019,Japan,13%,47%,15,75,https://www.betexplorer.com/soccer/japan/football-championships-women/stats/
,,,,,,,
37%,Premier League 2019,Kazakhstan,5%,58%,19,113,https://www.betexplorer.com/soccer/kazakhstan/premier-league/stats/
,,,,,,,
19%,Jordan Cup 2018/2019,Jordan,19%,62%,26,0,https://www.betexplorer.com/soccer/jordan/jordan-cup/stats/
,,,,,,,
0%,Super Cup 2019,Japan,0%,100%,1,0,https://www.betexplorer.com/soccer/japan/super-cup/stats/
,,,,,,,
33%,Premier League 2018/2019,Jordan,24%,44%,101,31,https://www.betexplorer.com/soccer/jordan/premier-league/stats/
,,,,,,,
13%,YBC Levain Cup 2019,Japan,25%,63%,16,32,https://www.betexplorer.com/soccer/japan/ybc-levain-cup/stats/
,,,,,,,
44%,J-League 2019,Japan,24%,31%,45,261,https://www.betexplorer.com/soccer/japan/j-league/stats/
,,,,,,,
36%,J-League Division 2 2019,Japan,22%,42%,77,385,https://www.betexplorer.com/soccer/japan/j-league-division-2/stats/
,,,,,,,
17%,FA Cup 2018/2019,Hong Kong,33%,50%,6,2,https://www.betexplorer.com/soccer/hong-kong/fa-cup/stats/
,,,,,,,
22%,Senior Shield 2018/2019,Hong Kong,11%,67%,9,0,https://www.betexplorer.com/soccer/hong-kong/senior-shield/stats/
,,,,,,,
30%,Premier League 2018/2019,Hong Kong,27%,44%,71,19,https://www.betexplorer.com/soccer/hong-kong/premier-league/stats/
,,,,,,,
29%,Liga Nacional 2018/2019,Honduras,31%,40%,65,25,https://www.betexplorer.com/soccer/honduras/liga-nacional/stats/
,,,,,,,
17%,Liga Nacional 2018/2019,Guatemala,26%,57%,85,47,https://www.betexplorer.com/soccer/guatemala/liga-nacional/stats/
,,,,,,,
18%,Championnat National 2019,Haiti,36%,45%,47,9,https://www.betexplorer.com/soccer/haiti/championnat-national/stats/
,,,,,,,
27%,Ligue 1 2018/2019,Guinea,36%,37%,106,3,https://www.betexplorer.com/soccer/guinea/ligue-1/stats/
,,,,,,,
100%,Super Cup 2019,Georgia,0%,0%,1,0,https://www.betexplorer.com/soccer/georgia/super-cup/stats/
,,,,,,,
17%,Greek Cup 2018/2019,Greece,25%,58%,24,4,https://www.betexplorer.com/soccer/greece/greek-cup/stats/
,,,,,,,
25%,Telekom Cup - winter 2019,Germany,50%,25%,4,0,https://www.betexplorer.com/soccer/germany/telekom-cup-winter/stats/
,,,,,,,
12%,Premier League 2018,Ghana,26%,62%,117,3,https://www.betexplorer.com/soccer/ghana/premier-league/stats/
,,,,,,,
62%,Gibraltar Cup 2019,Gibraltar,8%,31%,13,2,https://www.betexplorer.com/soccer/gibraltar/gibraltar-cup/stats/
,,,,,,,
50%,Coupe de France Women 2018/2019,France,14%,36%,14,1,https://www.betexplorer.com/soccer/france/coupe-de-france-women/stats/
,,,,,,,
34%,Division 1 Women 2018/2019,France,20%,46%,114,18,https://www.betexplorer.com/soccer/france/division-1-women/stats/
,,,,,,,
29%,Division C 2018/2019,Greece,26%,45%,1227,101,https://www.betexplorer.com/soccer/greece/division-c/stats/
,,,,,,,
33%,Liiga Women 2019,Finland,33%,33%,6,84,https://www.betexplorer.com/soccer/finland/liiga-women/stats/
,,,,,,,
75%,Suomen Cup 2019,Finland,25%,0%,12,0,https://www.betexplorer.com/soccer/finland/suomen-cup/stats/
,,,,,,,
20%,Euro U21 2021,Europe,20%,60%,5,255,https://www.betexplorer.com/soccer/europe/euro-u21-2021/stats/
,,,,,,,
0%,Kakkonen Group C 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-c/stats/
,,,,,,,
0%,Kakkonen Group B 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-b/stats/
,,,,,,,
0%,Kakkonen Group A 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/kakkonen-group-a/stats/
,,,,,,,
0%,Super Cup 2019,Faroe Islands,0%,100%,1,0,https://www.betexplorer.com/soccer/faroe-islands/super-cup/stats/
,,,,,,,
0%,Ykkonen 2019,Finland,0%,0%,0,135,https://www.betexplorer.com/soccer/finland/ykkonen/stats/
,,,,,,,
0%,Veikkausliiga 2019,Finland,0%,0%,0,132,https://www.betexplorer.com/soccer/finland/veikkausliiga/stats/
,,,,,,,
0%,Faroe Islands Cup 2019,Faroe Islands,0%,0%,0,8,https://www.betexplorer.com/soccer/faroe-islands/faroe-islands-cup/stats/
,,,,,,,
30%,Coupe de la Ligue 2018/2019,France,33%,37%,43,0,https://www.betexplorer.com/soccer/france/coupe-de-la-ligue/stats/
,,,,,,,
13%,Premier League 2019,Faroe Islands,27%,60%,15,120,https://www.betexplorer.com/soccer/faroe-islands/premier-league/stats/
,,,,,,,
26%,National 2 - Group D 2018/2019,France,32%,42%,183,57,https://www.betexplorer.com/soccer/france/national-2-group-d/stats/
,,,,,,,
23%,National 2 - Group C 2018/2019,France,31%,46%,184,56,https://www.betexplorer.com/soccer/france/national-2-group-c/stats/
,,,,,,,
42%,Coupe de France 2018/2019,France,24%,34%,193,1,https://www.betexplorer.com/soccer/france/coupe-de-france/stats/
,,,,,,,
24%,National 2 - Group B 2018/2019,France,30%,46%,184,56,https://www.betexplorer.com/soccer/france/national-2-group-b/stats/
,,,,,,,
30%,National 2 - Group A 2018/2019,France,26%,45%,183,57,https://www.betexplorer.com/soccer/france/national-2-group-a/stats/
,,,,,,,
27%,National 2018/2019,France,31%,42%,251,55,https://www.betexplorer.com/soccer/france/national/stats/
,,,,,,,
31%,Ligue 2 2018/2019,France,29%,40%,300,80,https://www.betexplorer.com/soccer/france/ligue-2/stats/
,,,,,,,
29%,Ligue 1 2018/2019,France,29%,42%,296,84,https://www.betexplorer.com/soccer/france/ligue-1/stats/
,,,,,,,
23%,Championnat D1 2019,Gabon,31%,46%,35,25,https://www.betexplorer.com/soccer/gabon/championnat-d1/stats/
,,,,,,,
25%,GFA League 2018/2019,Gambia,48%,27%,116,8,https://www.betexplorer.com/soccer/gambia/gfa-league/stats/
,,,,,,,
0%,Georgian Cup 2019,Georgia,0%,0%,0,16,https://www.betexplorer.com/soccer/georgia/georgian-cup/stats/
,,,,,,,
29%,Crystalbet Erovnuli Liga 2019,Georgia,25%,46%,28,152,https://www.betexplorer.com/soccer/georgia/crystalbet-erovnuli-liga/stats/
,,,,,,,
28%,Football League 2018/2019,Greece,25%,47%,200,35,https://www.betexplorer.com/soccer/greece/football-league/stats/
